timestamp,frame_number,video_time_sec,total_blinks,left_eye_cx,left_eye_cy,right_eye_cx,right_eye_cy,left_iris_dx,left_iris_dy,right_iris_dx,right_iris_dy,pitch,yaw,roll,gaze_direction
2026-02-20 17:27:24.363,1,0.041,0,1125.0,568.0,896.5,564.0,272,5,-179,-17,0.0,0.0,0.0,Forward
2026-02-20 17:27:24.469,2,0.082,0,1125.0,568.0,896.0,564.0,273,5,-179,-18,0.0283,0.0142,0.0004,Forward
2026-02-20 17:27:24.528,3,0.124,0,1125.0,567.5,898.5,564.0,270,4,-178,-17,0.0446,0.0224,0.0005,Forward
2026-02-20 17:27:24.588,4,0.165,0,1125.5,567.0,899.0,563.5,270,4,-178,-18,0.0373,0.039,-0.0002,Forward
2026-02-20 17:27:24.632,5,0.206,0,1126.5,566.5,900.0,564.0,271,3,-177,-16,0.0389,0.0484,-0.0008,Forward
2026-02-20 17:27:24.695,6,0.247,0,1126.5,568.5,900.0,565.0,270,4,-177,-17,0.032,0.0508,-0.0011,Forward
2026-02-20 17:27:24.738,7,0.288,0,1126.5,568.5,900.0,564.5,271,5,-177,-18,0.0249,0.0531,-0.0013,Forward
2026-02-20 17:27:24.792,8,0.329,0,1126.5,568.5,900.5,565.0,270,5,-178,-17,0.0197,0.0542,-0.0014,Forward
2026-02-20 17:27:24.823,9,0.371,0,1126.5,568.0,900.5,564.5,269,4,-178,-18,0.015,0.0554,-0.0015,Forward
2026-02-20 17:27:24.878,10,0.412,0,1127.0,568.5,900.5,565.0,270,4,-178,-17,0.0177,0.0579,-0.0016,Forward
2026-02-20 17:27:24.929,11,0.453,0,1127.0,569.0,901.5,565.0,270,5,-178,-18,0.0204,0.0671,-0.0019,Forward
2026-02-20 17:27:24.980,12,0.494,0,1127.5,569.0,901.5,565.0,269,5,-178,-17,0.023,0.0744,-0.0022,Forward
2026-02-20 17:27:25.031,13,0.535,0,1127.5,569.0,901.5,564.5,270,5,-177,-18,0.0205,0.0824,-0.0025,Forward
2026-02-20 17:27:25.099,14,0.577,0,1127.5,569.0,903.0,565.0,269,5,-176,-17,0.0172,0.087,-0.0025,Forward
2026-02-20 17:27:25.144,15,0.618,0,1128.0,571.5,902.0,568.0,271,5,-176,-15,-0.0027,0.0736,-0.0019,Forward
